Name,Value,MOE
Total number of housing units,484615,142
Owner-occupied housing units,276344,2678
Renter-occupied housing units,160558,2958
Single-family detached units,267712,2463
Home ownership rate,63.3,0.6
Vacancy rate,9.8,0.4
Percent with a broadband internet subscription,90.7,0.5
Median owner-occupied housing unit value,368800,2560
Average housing value,455995,11332
Median selected monthly owner cost,1770,21
Average monthly owner cost (with a mortgage),1591,31
Median rent (housing),1273,19
Average rent (housing),1155,36
Median year structure built,1961,1
