Name,Value,MOE
Establishments,48135,
Number of establishments change (2023 to 2024),431,
Number of establishments percent change (2023 to 2024) (%),0.9,
Number of establishments location quotient,1.01,
Employment (1st month of the quarter),438754,
Employment change month 1 (1st month of the quarter in 2023 to 2024),7223,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.7,
Employment location quotient (1st month of the quarter),1.03,
Employment (2nd month of the quarter),439058,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),7947,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.8,
Employment location quotient (2nd month of the quarter),1.03,
Employment (3rd month of the quarter),437992,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),7479,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.7,
Employment location quotient (3rd month of the quarter),1.02,
Total wages ($),7543129744,
Total wages change (2023 to 2024) ($),389556736,
Total wages percent change (2023 to 2024) (%),5.4,
Total wages location quotient,1,
Average weekly wages ($),1323,
Average weekly wages change (2023 to 2024) ($),46,
Average weekly wages percent change (2023 to 2024) (%),3.6,
Average weekly wages location quotient,0.97,
