Name,Value,MOE
Median household income,86372,1274
Average income,112642,1666
Percent high school degree or higher,89.5,0.4
Percent Bachelor's degree or higher,37.3,0.5
Average household size,2.4,
Percent in poverty,10.9,0.5
Percent population 16 years and over in labor force,65,0.4
Percent employed,60.9,0.5
Percent disabled,13.6,0.3
Percent with health coverage,95.7,0.2
Percent of all workers 16 and over who commute to work,88.6,0.7
Percent who drive alone to work,74.3,0.6
Percent who carpool to work,7.6,0.4
Percent who use public transportation to commute to work,1.9,0.2
Percent who walk to work,2.9,0.2
Percent who use other means to commute to work,1.9,0.2
Percent who work from home,11.4,0.5
Average travel time to work (mins),25.5,0.5
Percent with no vehicles available,9,0.4
Percent with 1 vehicle available,35.9,0.6
Percent with 2 or more vehicles available,55.1,0.7
Percent veterans,5.3,0.2
Percent foreign born,14.8,
Percent speaking Spanish at home,13,0.2
Percent speaking other Indo-European languages at home,6.5,0.3
Percent speaking other Asian and Pacific Island languages at home,2.2,0.1
