Name,Value,MOE
Beginning of Quarter Employment - All worker ages,490766,
Beginning of Quarter Employment - Worker age 14-18,13256,
Beginning of Quarter Employment - Worker age 19-21,22235,
Beginning of Quarter Employment - Worker age 22-24,26723,
Beginning of Quarter Employment - Worker age 25-34,98712,
Beginning of Quarter Employment - Worker age 35-44,101588,
Beginning of Quarter Employment - Worker age 45-54,92170,
Beginning of Quarter Employment - Worker age 55-64,91083,
Beginning of Quarter Employment - Worker age 65-99,44997,
All Hires - All educational attainment,69806,
All Hires - Less than High School education,8205,
All Hires - High School education,13539,
All Hires - Associates degree (some college),15599,
All Hires - Bachelor's degree or higher,14010,
Separations,n/a,
Firm Job Gains,n/a,
Firm Job Loss,n/a,
Firm Job Change,n/a,
Average Monthly Earnings ($),n/a,
