Name,Value,MOE
All Employer establishments (Total),241405,
All Nonemployer firms,880074,
Total employment of employers,4026452,
"Total annual payroll of employers ($1,000)",205904745,
"Total revenue of employers ($1,000)",1216090184,
"Revenue of nonemployer firms ($1,000)",45773972,
Establishment Entrants,24094,
Establishment Exits,18830,
All Employer firms (Total),165197,
Firms Age 0 (startups),15295,
Firms Age 1-5 Years,42791,
Firms Age 6-10 Year,24744,
Firms Age 11+ Years,70306,
Firms born before 1977,12059,
Firms with 1 to 19 employees,73225,
Firms with 20 to 499 employees,10216,
Firms with 500 or more employees,232,
"Total revenue of employers ($1,000) for Islands",n/a,
