Name,Value,MOE
Total population,5212774,
Percent male,48.7,
Percent female,51.3,
Percent under 5 years,5.5,
Percent under 18 years,21.6,
Percent 18 years and over ,78.4,
Percent 21 years and over,74.3,
Percent working age (25 to 64 years),50.8,
Percent 65 years and over,18.5,
Median age,40.1,0.1
Percent White,64.06,
Percent Black or African American,25.3,
Percent American Indian and Alaska Native,0.32,
Percent Asian,1.72,
Percent Native Hawaiian and Other Pacific Islander,0.07,
Percent some other race,2.74,
Percent two or more races,5.79,
Percent Hispanic (of any race),7.08,
