Name,Value,MOE
All Employer establishments (Total),120769,
Average employment per employer,17,
Establishments with less than 5 employees,64920,
Establishments with 5 to 9 employees,22457,
Average payroll per employee,51138,
Establishments with 10 to 19 employees,15754,
Establishments with 20 to 49 employees,11386,
Establishments with 50 to 99 employees,3532,
Population per employer,43,
Establishments with 100 to 249 employees,1931,
Establishments with 250 to 499 employees,474,
Establishments with 500 to 999 employees,195,
"Establishments with 1,000 employees or more",120,
Total employment of employers,2013315,
"Total annual payroll of employers ($1,000)",102955987,
Number of farm operations (Ag only),11702,
Total contract and hired labor expense (Ag only),28282000,
Total operating expense (Ag only),941325000,
Establishment Entrants,12047,
Establishment Exits,9415,
All Employer firms (Total),82003,
Firms Age 0 (startups),7646,
Firms Age 1-5 Years,21383,
Firms Age 6-10 Year,12359,
Firms Age 11+ Years,34913,
Firms born before 1977,5702,
Firms with 1 to 19 employees,73225,
Firms with 20 to 499 employees,10216,
Firms with 500 or more employees,232,
