Name,Value,MOE
Total Civilian employed population 16 years and over,2388777,9859
"Agriculture, forestry, fishing and hunting, and mining",21081,1396
"Arts, entertainment, and recreation, and accommodation and food services",225114,3809
Construction,170911,3970
"Educational services, and health care and social assistance",527255,7168
"Finance and insurance, and real estate and rental and leasing",145307,3612
Information,35079,1720
Manufacturing,319266,4876
"Other services, except public administration",118104,2744
"Professional, scientific, and management, and administrative and waste management services",267180,4786
Public administration,105530,2850
Retail trade,269257,5283
"Transportation and warehousing, and utilities",132071,3531
Wholesale trade,52622,1900
