Name,Value,MOE
Total number of housing units,2401638,448
Owner-occupied housing units,1478858,8640
Renter-occupied housing units,591532,6153
Single-family detached units,1543366,6809
Home ownership rate,71.4,0.4
Vacancy rate,13.8,0.3
Percent with a broadband internet subscription,86.8,0.3
Median owner-occupied housing unit value,236700,1344
Average housing value,317366,3868
Median selected monthly owner cost,979,7
Average monthly owner cost (with a mortgage),986,11
Median rent (housing),1126,7
Average rent (housing),1014,17
Median year structure built,1991,1
