Name,Value,MOE
Establishments,191070,
Number of establishments change (2023 to 2024),14466,
Number of establishments percent change (2023 to 2024) (%),8.2,
Number of establishments location quotient,1,
Employment (1st month of the quarter),1927550,
Employment change month 1 (1st month of the quarter in 2023 to 2024),22263,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (1st month of the quarter),0.98,
Employment (2nd month of the quarter),1938348,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),23532,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (2nd month of the quarter),0.98,
Employment (3rd month of the quarter),1936371,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),22416,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (3rd month of the quarter),0.98,
Total wages ($),30680003819,
Total wages change (2023 to 2024) ($),2089467145,
Total wages percent change (2023 to 2024) (%),7.3,
Total wages location quotient,0.97,
Average weekly wages ($),1220,
Average weekly wages change (2023 to 2024) ($),69,
Average weekly wages percent change (2023 to 2024) (%),6,
Average weekly wages location quotient,0.99,
