Name,Value,MOE
Median household income,66818,504
Average income,92833,873
Percent high school degree or higher,89.6,0.2
Percent Bachelor's degree or higher,31.5,0.3
Average household size,2.45,
Percent in poverty,14.2,0.3
Percent population 16 years and over in labor force,60.5,0.2
Percent employed,56.6,0.2
Percent disabled,14.4,0.1
Percent with health coverage,90,0.2
Percent of all workers 16 and over who commute to work,90,0.3
Percent who drive alone to work,77.9,0.2
Percent who carpool to work,8.4,0.2
Percent who use public transportation to commute to work,0.4,0
Percent who walk to work,1.7,0.1
Percent who use other means to commute to work,1.6,0.1
Percent who work from home,10,0.2
Average travel time to work (mins),25.6,0.2
Percent with no vehicles available,5.7,0.1
Percent with 1 vehicle available,32.2,0.3
Percent with 2 or more vehicles available,62.1,0.4
Percent veterans,8.5,0.1
Percent foreign born,5.6,
Percent speaking Spanish at home,5.2,0.1
Percent speaking other Indo-European languages at home,1.7,0.1
Percent speaking other Asian and Pacific Island languages at home,1,0
