Name,Value,MOE
All Employer establishments (Total),57683,
All Nonemployer firms,148056,
Total employment of employers,747685,
"Total annual payroll of employers ($1,000)",39338958,
"Total revenue of employers ($1,000)",258002120,
"Revenue of nonemployer firms ($1,000)",8764334,
Establishment Entrants,5012,
Establishment Exits,3984,
All Employer firms (Total),41971,
Firms Age 0 (startups),3192,
Firms Age 1-5 Years,8958,
Firms Age 6-10 Year,5897,
Firms Age 11+ Years,19137,
Firms born before 1977,4778,
Firms with 1 to 19 employees,18821,
Firms with 20 to 499 employees,2469,
Firms with 500 or more employees,34,
"Total revenue of employers ($1,000) for Islands",n/a,
