Name,Value,MOE
Total consumer expenditures per household ,84571.45,
Consumer expenditures per household on Alcoholic beverages,537.99,
Consumer expenditures per household on Alcoholic beverages consumed at home,325.29,
Consumer expenditures per household on Apparel & services,2007.67,
Consumer expenditures per household on Men's Apparel,374.09,
Consumer expenditures per household on Women's Apparel,672.36,
Consumer expenditures per household on Children's Apparel,320.22,
Consumer expenditures per household on Boys' Apparel,117.69,
Consumer expenditures per household on Girls' Apparel,117.06,
Consumer expenditures per household on Footware,422.93,
Consumer expenditures per household on Dining out (Food away from home),3286.75,
Consumer expenditures per household on Education,1414.07,
Consumer expenditures per household on Entertainment / Recreation,3569.67,
Consumer expenditures per household on Club membership fees,253.19,
Consumer expenditures per household on Dating services,0.65,
Consumer expenditures per household on Pet food,340.11,
Consumer expenditures per household on Pet services,91.47,
Consumer expenditures per household on Food consumed at home,6262.19,
Consumer expenditures per household on Bakery products consumed at home,806.54,
Consumer expenditures per household on Dairy products consumed at home,598.16,
Consumer expenditures per household on Fruits and vegetables consumed at home,1209.47,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1341.69,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,645.35,
Consumer expenditures per household on Snacks and other food products consumed at home,2306.33,
Consumer expenditures per household on Health Care,7048.72,
Consumer expenditures per household on Medical services,1415.53,
Consumer expenditures per household on Nonprescription drugs,161.22,
Consumer expenditures per household on Household Services,2370.61,
Consumer expenditures per household on Care for the elderly and handicapped,28.16,
Consumer expenditures per household on Lawn and garden services,629.8,
Consumer expenditures per household on Housekeeping services,191.2,
Consumer expenditures per household on PC repair,4.91,
Consumer expenditures per household on Housing,27192.9,
Consumer expenditures per household on Home improvements,5004.08,
"Consumer expenditures per household on Utilities, fuel, and public services",5335.05,
Consumer expenditures per household on Phone services,1715.27,
Consumer expenditures per household on Water,839.22,
Consumer expenditures per household on Life and other insurance,594.64,
Consumer expenditures per household on Pensions and social security,8961.94,
Consumer expenditures per household on Personal Care Products and Services,818.62,
Consumer expenditures per household on Hair care products,91.47,
Consumer expenditures per household on Personal care products,346.23,
Consumer expenditures per household on Local Transportation,9883.34,
Consumer expenditures per household on Gasoline,2858.64,
Consumer expenditures per household on Vehicle maintenance and repair,1319.8,
Consumer expenditures per household on Travel,2550.9,
Consumer expenditures per household on Airline fares,501.16,
Consumer expenditures per household on Auto/Truck rental on trips,97.59,
Consumer expenditures per household on Lodging on trips,829.09,
Consumer expenditures per household on Food and drink on trips,634.08,
Consumer expenditures per household on Entertainment on trips,155.98,
Consumer expenditures per household on Child Care,445.6,
Consumer expenditures per household on Day Care/Nursery & Preschools,327.29,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,118.31,
