Name,Value,MOE
Total population,899194,
Percent male,50.7,
Percent female,49.3,
Percent under 5 years,6.5,
Percent under 18 years,24.4,
Percent 18 years and over ,75.6,
Percent 21 years and over,71.5,
Percent working age (25 to 64 years),48.7,
Percent 65 years and over,17.6,
Median age,37.7,0.1
Percent White,81.52,
Percent Black or African American,2.24,
Percent American Indian and Alaska Native,7.73,
Percent Asian,1.4,
Percent Native Hawaiian and Other Pacific Islander,0.07,
Percent some other race,1.4,
Percent two or more races,5.65,
Percent Hispanic (of any race),4.59,
