Name,Value,MOE
All Employer establishments (Total),28857,
Average employment per employer,13,
Establishments with less than 5 employees,16188,
Establishments with 5 to 9 employees,5309,
Average payroll per employee,52613,
Establishments with 10 to 19 employees,3680,
Establishments with 20 to 49 employees,2492,
Establishments with 50 to 99 employees,725,
Population per employer,31,
Establishments with 100 to 249 employees,317,
Establishments with 250 to 499 employees,105,
Establishments with 500 to 999 employees,28,
"Establishments with 1,000 employees or more",13,
Total employment of employers,373863,
"Total annual payroll of employers ($1,000)",19670042,
Number of farm operations (Ag only),17102,
Total contract and hired labor expense (Ag only),20344000,
Total operating expense (Ag only),4462980000,
Establishment Entrants,2506,
Establishment Exits,1993,
All Employer firms (Total),20799,
Firms Age 0 (startups),1597,
Firms Age 1-5 Years,4477,
Firms Age 6-10 Year,2945,
Firms Age 11+ Years,9498,
Firms born before 1977,2282,
Firms with 1 to 19 employees,18821,
Firms with 20 to 499 employees,2469,
Firms with 500 or more employees,34,
