Name,Value,MOE
Total Civilian employed population 16 years and over,457450,2581
"Agriculture, forestry, fishing and hunting, and mining",29292,1030
"Arts, entertainment, and recreation, and accommodation and food services",39144,1688
Construction,33363,1477
"Educational services, and health care and social assistance",113909,2346
"Finance and insurance, and real estate and rental and leasing",32026,1322
Information,6601,602
Manufacturing,45869,1676
"Other services, except public administration",21160,1213
"Professional, scientific, and management, and administrative and waste management services",31190,1248
Public administration,21942,1187
Retail trade,51772,1844
"Transportation and warehousing, and utilities",19976,811
Wholesale trade,11206,799
