Name,Value,MOE
Total number of housing units,402364,200
Owner-occupied housing units,246105,2131
Renter-occupied housing units,112447,1795
Single-family detached units,270130,2049
Home ownership rate,68.6,0.5
Vacancy rate,10.9,0.4
Percent with a broadband internet subscription,88.5,0.4
Median owner-occupied housing unit value,236800,1986
Average housing value,284453,5139
Median selected monthly owner cost,1065,17
Average monthly owner cost (with a mortgage),992,20
Median rent (housing),912,10
Average rent (housing),835,24
Median year structure built,1979,1
