Name,Value,MOE
Establishments,38260,
Number of establishments change (2023 to 2024),615,
Number of establishments percent change (2023 to 2024) (%),1.6,
Number of establishments location quotient,0.97,
Employment (1st month of the quarter),384718,
Employment change month 1 (1st month of the quarter in 2023 to 2024),3893,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1,
Employment location quotient (1st month of the quarter),0.98,
Employment (2nd month of the quarter),384277,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),5016,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.3,
Employment location quotient (2nd month of the quarter),0.98,
Employment (3rd month of the quarter),382383,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),3387,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.9,
Employment location quotient (3rd month of the quarter),0.97,
Total wages ($),5971591076,
Total wages change (2023 to 2024) ($),286389528,
Total wages percent change (2023 to 2024) (%),5,
Total wages location quotient,0.98,
Average weekly wages ($),1197,
Average weekly wages change (2023 to 2024) ($),45,
Average weekly wages percent change (2023 to 2024) (%),3.9,
Average weekly wages location quotient,1,
