Name,Value,MOE
Median household income,72421,805
Average income,95050,1155
Percent high school degree or higher,93,0.3
Percent Bachelor's degree or higher,31.1,0.5
Average household size,2.42,
Percent in poverty,12,0.4
Percent population 16 years and over in labor force,67.5,0.3
Percent employed,64.9,0.4
Percent disabled,12.1,0.2
Percent with health coverage,90.7,0.3
Percent of all workers 16 and over who commute to work,90.7,0.6
Percent who drive alone to work,77.6,0.5
Percent who carpool to work,8,0.4
Percent who use public transportation to commute to work,0.5,0.1
Percent who walk to work,3.2,0.2
Percent who use other means to commute to work,1.4,0.2
Percent who work from home,9.3,0.3
Average travel time to work (mins),17.6,0.3
Percent with no vehicles available,5.1,0.3
Percent with 1 vehicle available,28.4,0.5
Percent with 2 or more vehicles available,66.5,0.7
Percent veterans,8.1,0.2
Percent foreign born,3.9,
Percent speaking Spanish at home,2.4,0.1
Percent speaking other Indo-European languages at home,1.6,0.1
Percent speaking other Asian and Pacific Island languages at home,0.8,0.1
