Name,Value,MOE
Beginning of Quarter Employment - All worker ages,446615,
Beginning of Quarter Employment - Worker age 14-18,20102,
Beginning of Quarter Employment - Worker age 19-21,23955,
Beginning of Quarter Employment - Worker age 22-24,26132,
Beginning of Quarter Employment - Worker age 25-34,87349,
Beginning of Quarter Employment - Worker age 35-44,95654,
Beginning of Quarter Employment - Worker age 45-54,83113,
Beginning of Quarter Employment - Worker age 55-64,71723,
Beginning of Quarter Employment - Worker age 65-99,38588,
All Hires - All educational attainment,67726,
All Hires - Less than High School education,7048,
All Hires - High School education,14420,
All Hires - Associates degree (some college),15517,
All Hires - Bachelor's degree or higher,10515,
Separations,n/a,
Firm Job Gains,n/a,
Firm Job Loss,n/a,
Firm Job Change,n/a,
Average Monthly Earnings ($),n/a,
