Name,Value,MOE
All Employer establishments (Total),295692,
All Nonemployer firms,1274680,
Total employment of employers,5693393,
"Total annual payroll of employers ($1,000)",322301918,
"Total revenue of employers ($1,000)",1890569838,
"Revenue of nonemployer firms ($1,000)",75517994,
Establishment Entrants,28378,
Establishment Exits,24824,
All Employer firms (Total),194239,
Firms Age 0 (startups),17440,
Firms Age 1-5 Years,48409,
Firms Age 6-10 Year,28120,
Firms Age 11+ Years,83664,
Firms born before 1977,16606,
Firms with 1 to 19 employees,84266,
Firms with 20 to 499 employees,14100,
Firms with 500 or more employees,350,
"Total revenue of employers ($1,000) for Islands",n/a,
