Name,Value,MOE
Total population,6986082,
Percent male,49.1,
Percent female,50.9,
Percent under 5 years,5.9,
Percent under 18 years,22.3,
Percent 18 years and over ,77.7,
Percent 21 years and over,73.9,
Percent working age (25 to 64 years),52,
Percent 65 years and over,16.8,
Median age,38.9,0.1
Percent White,73.48,
Percent Black or African American,15.87,
Percent American Indian and Alaska Native,0.25,
Percent Asian,1.85,
Percent Native Hawaiian and Other Pacific Islander,0.07,
Percent some other race,2.5,
Percent two or more races,5.98,
Percent Hispanic (of any race),7.11,
