Name,Value,MOE
All Employer establishments (Total),147924,
Average employment per employer,19,
Establishments with less than 5 employees,71985,
Establishments with 5 to 9 employees,29447,
Average payroll per employee,56609,
Establishments with 10 to 19 employees,21073,
Establishments with 20 to 49 employees,15964,
Establishments with 50 to 99 employees,5093,
Population per employer,47,
Establishments with 100 to 249 employees,3012,
Establishments with 250 to 499 employees,838,
Establishments with 500 to 999 employees,310,
"Establishments with 1,000 employees or more",202,
Total employment of employers,2846881,
"Total annual payroll of employers ($1,000)",161157703,
Number of farm operations (Ag only),25190,
Total contract and hired labor expense (Ag only),37381000,
Total operating expense (Ag only),1707976000,
Establishment Entrants,14189,
Establishment Exits,12412,
All Employer firms (Total),96206,
Firms Age 0 (startups),8720,
Firms Age 1-5 Years,24183,
Firms Age 6-10 Year,14030,
Firms Age 11+ Years,41476,
Firms born before 1977,7797,
Firms with 1 to 19 employees,84266,
Firms with 20 to 499 employees,14100,
Firms with 500 or more employees,350,
