Name,Value,MOE
Total Civilian employed population 16 years and over,3301152,9616
"Agriculture, forestry, fishing and hunting, and mining",28819,1386
"Arts, entertainment, and recreation, and accommodation and food services",298539,5232
Construction,229486,4975
"Educational services, and health care and social assistance",734869,7460
"Finance and insurance, and real estate and rental and leasing",199077,4022
Information,52153,2332
Manufacturing,422176,5818
"Other services, except public administration",159068,3594
"Professional, scientific, and management, and administrative and waste management services",347931,5842
Public administration,137717,3761
Retail trade,379511,4960
"Transportation and warehousing, and utilities",236125,4383
Wholesale trade,75681,2453
