Name,Value,MOE
Total number of housing units,3095472,769
Owner-occupied housing units,1855793,11563
Renter-occupied housing units,912950,7740
Single-family detached units,2119535,7014
Home ownership rate,67,0.4
Vacancy rate,10.6,0.2
Percent with a broadband internet subscription,87.4,0.3
Median owner-occupied housing unit value,256800,1438
Average housing value,335807,3757
Median selected monthly owner cost,1001,7
Average monthly owner cost (with a mortgage),1019,11
Median rent (housing),1122,7
Average rent (housing),1012,15
Median year structure built,1986,1
