Name,Value,MOE
Total number of employer and nonemployer businesses,1406831,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,318100,
White-owned non-employer businesses,950300,
Black-owned non-employer businesses,217550,
American Indian- and Alaska Native-owned employer businesses,9370,
Asian-owned non-employer businesses,37170,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,1430,
Hispanic-owned non-employer businesses,66300,
Female-owned non-employer businesses,533170,
Male-owned non-employer businesses,648900,
Veteran-owned non-employer businesses,72110,
