Name,Value,MOE
Median household income,67097,360
Average income,93479,720
Percent high school degree or higher,89.6,0.2
Percent Bachelor's degree or higher,30.4,0.3
Average household size,2.47,
Percent in poverty,13.8,0.2
Percent population 16 years and over in labor force,62.1,0.2
Percent employed,58.8,0.2
Percent disabled,15,0.1
Percent with health coverage,89.9,0.2
Percent of all workers 16 and over who commute to work,88.6,0.2
Percent who drive alone to work,77.2,0.2
Percent who carpool to work,8.4,0.2
Percent who use public transportation to commute to work,0.5,0
Percent who walk to work,1.2,0.1
Percent who use other means to commute to work,1.3,0.1
Percent who work from home,11.4,0.2
Average travel time to work (mins),25.7,0.2
Percent with no vehicles available,5.2,0.1
Percent with 1 vehicle available,30.9,0.3
Percent with 2 or more vehicles available,63.9,0.3
Percent veterans,7.5,0.1
Percent foreign born,5.9,
Percent speaking Spanish at home,5.1,0.1
Percent speaking other Indo-European languages at home,1.3,0.1
Percent speaking other Asian and Pacific Island languages at home,1.1,0
