Name,Value,MOE
Total consumer expenditures per household ,97054.85,
Consumer expenditures per household on Alcoholic beverages,617.2,
Consumer expenditures per household on Alcoholic beverages consumed at home,375.56,
Consumer expenditures per household on Apparel & services,2410.31,
Consumer expenditures per household on Men's Apparel,442.57,
Consumer expenditures per household on Women's Apparel,801.2,
Consumer expenditures per household on Children's Apparel,400.03,
Consumer expenditures per household on Boys' Apparel,146.13,
Consumer expenditures per household on Girls' Apparel,148.96,
Consumer expenditures per household on Footware,521.4,
Consumer expenditures per household on Dining out (Food away from home),4018.24,
Consumer expenditures per household on Education,1564.42,
Consumer expenditures per household on Entertainment / Recreation,3950.88,
Consumer expenditures per household on Club membership fees,278.11,
Consumer expenditures per household on Dating services,0.79,
Consumer expenditures per household on Pet food,362.05,
Consumer expenditures per household on Pet services,103.69,
Consumer expenditures per household on Food consumed at home,7199.61,
Consumer expenditures per household on Bakery products consumed at home,909.28,
Consumer expenditures per household on Dairy products consumed at home,672.35,
Consumer expenditures per household on Fruits and vegetables consumed at home,1395.04,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1583.29,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,747.99,
Consumer expenditures per household on Snacks and other food products consumed at home,2639.64,
Consumer expenditures per household on Health Care,7509.31,
Consumer expenditures per household on Medical services,1495.82,
Consumer expenditures per household on Nonprescription drugs,181.95,
Consumer expenditures per household on Household Services,2699.55,
Consumer expenditures per household on Care for the elderly and handicapped,26.54,
Consumer expenditures per household on Lawn and garden services,664.14,
Consumer expenditures per household on Housekeeping services,233.26,
Consumer expenditures per household on PC repair,5.32,
Consumer expenditures per household on Housing,31915.1,
Consumer expenditures per household on Home improvements,5370.9,
"Consumer expenditures per household on Utilities, fuel, and public services",6027.1,
Consumer expenditures per household on Phone services,1978.36,
Consumer expenditures per household on Water,995.73,
Consumer expenditures per household on Life and other insurance,639.3,
Consumer expenditures per household on Pensions and social security,10225.07,
Consumer expenditures per household on Personal Care Products and Services,978.86,
Consumer expenditures per household on Hair care products,103.34,
Consumer expenditures per household on Personal care products,419.65,
Consumer expenditures per household on Local Transportation,11369.38,
Consumer expenditures per household on Gasoline,3337.42,
Consumer expenditures per household on Vehicle maintenance and repair,1488.68,
Consumer expenditures per household on Travel,2858.28,
Consumer expenditures per household on Airline fares,595.44,
Consumer expenditures per household on Auto/Truck rental on trips,110.74,
Consumer expenditures per household on Lodging on trips,913.19,
Consumer expenditures per household on Food and drink on trips,703.19,
Consumer expenditures per household on Entertainment on trips,173.31,
Consumer expenditures per household on Child Care,526.44,
Consumer expenditures per household on Day Care/Nursery & Preschools,377.84,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,148.6,
