Name,Value,MOE
Total Civilian employed population 16 years and over,14140748,24489
"Agriculture, forestry, fishing and hunting, and mining",344777,5173
"Arts, entertainment, and recreation, and accommodation and food services",1200410,13294
Construction,1222119,11565
"Educational services, and health care and social assistance",3055393,20094
"Finance and insurance, and real estate and rental and leasing",986535,10045
Information,226893,5322
Manufacturing,1205356,10647
"Other services, except public administration",695175,7173
"Professional, scientific, and management, and administrative and waste management services",1774719,13112
Public administration,582392,7909
Retail trade,1568595,12494
"Transportation and warehousing, and utilities",925629,10866
Wholesale trade,352755,6124
