Name,Value,MOE
Total number of housing units,11890808,698
Owner-occupied housing units,6723729,32728
Renter-occupied housing units,4023511,21850
Single-family detached units,7676939,20533
Home ownership rate,62.6,0.3
Vacancy rate,9.6,0.1
Percent with a broadband internet subscription,90,0.2
Median owner-occupied housing unit value,260400,738
Average housing value,340712,2838
Median selected monthly owner cost,1348,5
Average monthly owner cost (with a mortgage),1294,10
Median rent (housing),1339,4
Average rent (housing),1236,11
Median year structure built,1990,1
