Name,Value,MOE
Total number of employer and nonemployer businesses,6645410,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,3199050,
White-owned non-employer businesses,4170000,
Black-owned non-employer businesses,943750,
American Indian- and Alaska Native-owned employer businesses,69930,
Asian-owned non-employer businesses,491030,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,11210,
Hispanic-owned non-employer businesses,1930550,
Female-owned non-employer businesses,2447200,
Male-owned non-employer businesses,3071300,
Veteran-owned non-employer businesses,288750,
