Name,Value,MOE
Median household income,76292,265
Average income,106819,483
Percent high school degree or higher,85.7,0.1
Percent Bachelor's degree or higher,33.1,0.2
Average household size,2.7,
Percent in poverty,13.8,0.1
Percent population 16 years and over in labor force,65.3,0.1
Percent employed,61.4,0.1
Percent disabled,12,0.1
Percent with health coverage,82.6,0.2
Percent of all workers 16 and over who commute to work,87.2,0.1
Percent who drive alone to work,73.2,0.1
Percent who carpool to work,9.8,0.1
Percent who use public transportation to commute to work,1,0
Percent who walk to work,1.4,0
Percent who use other means to commute to work,1.8,0
Percent who work from home,12.8,0.1
Average travel time to work (mins),26.7,0.1
Percent with no vehicles available,5.3,0.1
Percent with 1 vehicle available,32.5,0.1
Percent with 2 or more vehicles available,62.2,0.2
Percent veterans,6.4,0.1
Percent foreign born,17.2,
Percent speaking Spanish at home,28.1,0.1
Percent speaking other Indo-European languages at home,2.5,0
Percent speaking other Asian and Pacific Island languages at home,3.1,0
