Name,Value,MOE
All Employer establishments (Total),187318,
All Nonemployer firms,589618,
Total employment of employers,3043199,
"Total annual payroll of employers ($1,000)",178833587,
"Total revenue of employers ($1,000)",974366757,
"Revenue of nonemployer firms ($1,000)",35152464,
Establishment Entrants,21686,
Establishment Exits,16756,
All Employer firms (Total),133396,
Firms Age 0 (startups),14892,
Firms Age 1-5 Years,40095,
Firms Age 6-10 Year,21297,
Firms Age 11+ Years,50860,
Firms born before 1977,6250,
Firms with 1 to 19 employees,59240,
Firms with 20 to 499 employees,8008,
Firms with 500 or more employees,223,
"Total revenue of employers ($1,000) for Islands",n/a,
