Name,Value,MOE
Total consumer expenditures per household ,108126.2,
Consumer expenditures per household on Alcoholic beverages,703.41,
Consumer expenditures per household on Alcoholic beverages consumed at home,431.37,
Consumer expenditures per household on Apparel & services,2635.73,
Consumer expenditures per household on Men's Apparel,485.28,
Consumer expenditures per household on Women's Apparel,873.87,
Consumer expenditures per household on Children's Apparel,427.17,
Consumer expenditures per household on Boys' Apparel,157.04,
Consumer expenditures per household on Girls' Apparel,159.75,
Consumer expenditures per household on Footware,562.09,
Consumer expenditures per household on Dining out (Food away from home),4407.06,
Consumer expenditures per household on Education,1874.96,
Consumer expenditures per household on Entertainment / Recreation,4503.13,
Consumer expenditures per household on Club membership fees,330.72,
Consumer expenditures per household on Dating services,0.84,
Consumer expenditures per household on Pet food,392.28,
Consumer expenditures per household on Pet services,122.26,
Consumer expenditures per household on Food consumed at home,7861.91,
Consumer expenditures per household on Bakery products consumed at home,1004.41,
Consumer expenditures per household on Dairy products consumed at home,743.97,
Consumer expenditures per household on Fruits and vegetables consumed at home,1547.38,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1691.81,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,798.05,
Consumer expenditures per household on Snacks and other food products consumed at home,2874.34,
Consumer expenditures per household on Health Care,8228.48,
Consumer expenditures per household on Medical services,1696.1,
Consumer expenditures per household on Nonprescription drugs,196.8,
Consumer expenditures per household on Household Services,3049.26,
Consumer expenditures per household on Care for the elderly and handicapped,32.42,
Consumer expenditures per household on Lawn and garden services,753.09,
Consumer expenditures per household on Housekeeping services,274.79,
Consumer expenditures per household on PC repair,6.14,
Consumer expenditures per household on Housing,35611.95,
Consumer expenditures per household on Home improvements,6303.06,
"Consumer expenditures per household on Utilities, fuel, and public services",6388.15,
Consumer expenditures per household on Phone services,2085.45,
Consumer expenditures per household on Water,1072.46,
Consumer expenditures per household on Life and other insurance,734.23,
Consumer expenditures per household on Pensions and social security,11834.62,
Consumer expenditures per household on Personal Care Products and Services,1093.01,
Consumer expenditures per household on Hair care products,116.57,
Consumer expenditures per household on Personal care products,481.35,
Consumer expenditures per household on Local Transportation,12171.03,
Consumer expenditures per household on Gasoline,3501.6,
Consumer expenditures per household on Vehicle maintenance and repair,1633.73,
Consumer expenditures per household on Travel,3354.24,
Consumer expenditures per household on Airline fares,710.93,
Consumer expenditures per household on Auto/Truck rental on trips,130.11,
Consumer expenditures per household on Lodging on trips,1072.12,
Consumer expenditures per household on Food and drink on trips,819.54,
Consumer expenditures per household on Entertainment on trips,204.96,
Consumer expenditures per household on Child Care,640.58,
Consumer expenditures per household on Day Care/Nursery & Preschools,462.42,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,178.16,
