Name,Value,MOE
Total population,3331187,
Percent male,50.6,
Percent female,49.4,
Percent under 5 years,7.1,
Percent under 18 years,28.3,
Percent 18 years and over ,71.7,
Percent 21 years and over,67,
Percent working age (25 to 64 years),48.5,
Percent 65 years and over,11.6,
Median age,31.7,0.1
Percent White,80.7,
Percent Black or African American,1.13,
Percent American Indian and Alaska Native,1.02,
Percent Asian,2.37,
Percent Native Hawaiian and Other Pacific Islander,0.95,
Percent some other race,5.58,
Percent two or more races,8.26,
Percent Hispanic (of any race),15.4,
