Name,Value,MOE
All Employer establishments (Total),93706,
Average employment per employer,16,
Establishments with less than 5 employees,55376,
Establishments with 5 to 9 employees,14500,
Average payroll per employee,58765,
Establishments with 10 to 19 employees,11238,
Establishments with 20 to 49 employees,7848,
Establishments with 50 to 99 employees,2575,
Population per employer,35,
Establishments with 100 to 249 employees,1461,
Establishments with 250 to 499 employees,419,
Establishments with 500 to 999 employees,182,
"Establishments with 1,000 employees or more",107,
Total employment of employers,1521640,
"Total annual payroll of employers ($1,000)",89418575,
Number of farm operations (Ag only),6625,
Total contract and hired labor expense (Ag only),10879000,
Total operating expense (Ag only),441587000,
Establishment Entrants,10843,
Establishment Exits,8378,
All Employer firms (Total),66183,
Firms Age 0 (startups),7444,
Firms Age 1-5 Years,20023,
Firms Age 6-10 Year,10616,
Firms Age 11+ Years,25218,
Firms born before 1977,2882,
Firms with 1 to 19 employees,59240,
Firms with 20 to 499 employees,8008,
Firms with 500 or more employees,223,
