Name,Value,MOE
Total Civilian employed population 16 years and over,1673539,5687
"Agriculture, forestry, fishing and hunting, and mining",23963,1218
"Arts, entertainment, and recreation, and accommodation and food services",135310,3394
Construction,131783,3408
"Educational services, and health care and social assistance",374777,4536
"Finance and insurance, and real estate and rental and leasing",119938,2493
Information,30096,1347
Manufacturing,169937,2799
"Other services, except public administration",73611,2201
"Professional, scientific, and management, and administrative and waste management services",216635,3750
Public administration,77383,2333
Retail trade,192308,3392
"Transportation and warehousing, and utilities",90657,2714
Wholesale trade,37141,1697
