Name,Value,MOE
Total number of housing units,1193082,271
Owner-occupied housing units,773345,4207
Renter-occupied housing units,321551,3460
Single-family detached units,802338,3006
Home ownership rate,70.6,0.3
Vacancy rate,8.2,0.2
Percent with a broadband internet subscription,92.8,0.2
Median owner-occupied housing unit value,455000,1576
Average housing value,536660,6976
Median selected monthly owner cost,1550,9
Average monthly owner cost (with a mortgage),1472,15
Median rent (housing),1405,10
Average rent (housing),1318,24
Median year structure built,1991,1
