Name,Value,MOE
Total number of employer and nonemployer businesses,705101,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,90250,
White-owned non-employer businesses,507550,
Black-owned non-employer businesses,9630,
American Indian- and Alaska Native-owned employer businesses,5410,
Asian-owned non-employer businesses,20170,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,6020,
Hispanic-owned non-employer businesses,55920,
Female-owned non-employer businesses,217740,
Male-owned non-employer businesses,290150,
Veteran-owned non-employer businesses,19430,
