Name,Value,MOE
Establishments,138619,
Number of establishments change (2023 to 2024),3351,
Number of establishments percent change (2023 to 2024) (%),2.5,
Number of establishments location quotient,1,
Employment (1st month of the quarter),1467380,
Employment change month 1 (1st month of the quarter in 2023 to 2024),17336,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),1.2,
Employment location quotient (1st month of the quarter),0.99,
Employment (2nd month of the quarter),1471128,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),19450,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),1.3,
Employment location quotient (2nd month of the quarter),0.99,
Employment (3rd month of the quarter),1469043,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),16035,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),1.1,
Employment location quotient (3rd month of the quarter),0.99,
Total wages ($),25757830591,
Total wages change (2023 to 2024) ($),1528811252,
Total wages percent change (2023 to 2024) (%),6.3,
Total wages location quotient,0.99,
Average weekly wages ($),1349,
Average weekly wages change (2023 to 2024) ($),65,
Average weekly wages percent change (2023 to 2024) (%),5.1,
Average weekly wages location quotient,1,
