Name,Value,MOE
Total consumer expenditures per household ,90889.3,
Consumer expenditures per household on Alcoholic beverages,586.99,
Consumer expenditures per household on Alcoholic beverages consumed at home,360.76,
Consumer expenditures per household on Apparel & services,2112.29,
Consumer expenditures per household on Men's Apparel,395.71,
Consumer expenditures per household on Women's Apparel,715.21,
Consumer expenditures per household on Children's Apparel,319.53,
Consumer expenditures per household on Boys' Apparel,119.54,
Consumer expenditures per household on Girls' Apparel,116.08,
Consumer expenditures per household on Footware,441.33,
Consumer expenditures per household on Dining out (Food away from home),3505.4,
Consumer expenditures per household on Education,1557.85,
Consumer expenditures per household on Entertainment / Recreation,3845.42,
Consumer expenditures per household on Club membership fees,275.52,
Consumer expenditures per household on Dating services,0.73,
Consumer expenditures per household on Pet food,362.71,
Consumer expenditures per household on Pet services,99.61,
Consumer expenditures per household on Food consumed at home,6712.54,
Consumer expenditures per household on Bakery products consumed at home,868.66,
Consumer expenditures per household on Dairy products consumed at home,645.44,
Consumer expenditures per household on Fruits and vegetables consumed at home,1310.72,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1429.18,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,683.9,
Consumer expenditures per household on Snacks and other food products consumed at home,2458.55,
Consumer expenditures per household on Health Care,7541.63,
Consumer expenditures per household on Medical services,1515.44,
Consumer expenditures per household on Nonprescription drugs,171.28,
Consumer expenditures per household on Household Services,2557.46,
Consumer expenditures per household on Care for the elderly and handicapped,35.77,
Consumer expenditures per household on Lawn and garden services,686.54,
Consumer expenditures per household on Housekeeping services,216.17,
Consumer expenditures per household on PC repair,5.41,
Consumer expenditures per household on Housing,29458.77,
Consumer expenditures per household on Home improvements,5488.31,
"Consumer expenditures per household on Utilities, fuel, and public services",5644.36,
Consumer expenditures per household on Phone services,1802.77,
Consumer expenditures per household on Water,887.38,
Consumer expenditures per household on Life and other insurance,644.66,
Consumer expenditures per household on Pensions and social security,9630.44,
Consumer expenditures per household on Personal Care Products and Services,888.78,
Consumer expenditures per household on Hair care products,98.66,
Consumer expenditures per household on Personal care products,383.26,
Consumer expenditures per household on Local Transportation,10368.52,
Consumer expenditures per household on Gasoline,2987.91,
Consumer expenditures per household on Vehicle maintenance and repair,1402.47,
Consumer expenditures per household on Travel,2782.29,
Consumer expenditures per household on Airline fares,555.28,
Consumer expenditures per household on Auto/Truck rental on trips,105.54,
Consumer expenditures per household on Lodging on trips,908.33,
Consumer expenditures per household on Food and drink on trips,688.1,
Consumer expenditures per household on Entertainment on trips,165.98,
Consumer expenditures per household on Child Care,473.91,
Consumer expenditures per household on Day Care/Nursery & Preschools,344.22,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,129.69,
