Name,Value,MOE
Total population,645254,
Percent male,49.6,
Percent female,50.4,
Percent under 5 years,4.3,
Percent under 18 years,18.2,
Percent 18 years and over ,81.8,
Percent 21 years and over,76.9,
Percent working age (25 to 64 years),51,
Percent 65 years and over,20.8,
Median age,43,0.2
Percent White,91.41,
Percent Black or African American,1.22,
Percent American Indian and Alaska Native,0.2,
Percent Asian,1.66,
Percent Native Hawaiian and Other Pacific Islander,0.02,
Percent some other race,0.68,
Percent two or more races,4.81,
Percent Hispanic (of any race),2.49,
