Name,Value,MOE
All Employer establishments (Total),20868,
Average employment per employer,12,
Establishments with less than 5 employees,11907,
Establishments with 5 to 9 employees,3952,
Average payroll per employee,53953,
Establishments with 10 to 19 employees,2620,
Establishments with 20 to 49 employees,1568,
Establishments with 50 to 99 employees,487,
Population per employer,31,
Establishments with 100 to 249 employees,239,
Establishments with 250 to 499 employees,56,
Establishments with 500 to 999 employees,28,
"Establishments with 1,000 employees or more",11,
Total employment of employers,254471,
"Total annual payroll of employers ($1,000)",13729536,
Number of farm operations (Ag only),3596,
Total contract and hired labor expense (Ag only),2942000,
Total operating expense (Ag only),128319000,
Establishment Entrants,1984,
Establishment Exits,1633,
All Employer firms (Total),15758,
Firms Age 0 (startups),1077,
Firms Age 1-5 Years,3112,
Firms Age 6-10 Year,2049,
Firms Age 11+ Years,7866,
Firms born before 1977,1654,
Firms with 1 to 19 employees,14325,
Firms with 20 to 499 employees,1697,
Firms with 500 or more employees,28,
