Name,Value,MOE
Total Civilian employed population 16 years and over,337258,2579
"Agriculture, forestry, fishing and hunting, and mining",8700,596
"Arts, entertainment, and recreation, and accommodation and food services",30810,1383
Construction,26223,1258
"Educational services, and health care and social assistance",96388,1949
"Finance and insurance, and real estate and rental and leasing",16399,965
Information,5848,507
Manufacturing,34263,1370
"Other services, except public administration",15290,876
"Professional, scientific, and management, and administrative and waste management services",32756,1310
Public administration,16795,964
Retail trade,37341,1506
"Transportation and warehousing, and utilities",10848,699
Wholesale trade,5597,489
