Name,Value,MOE
Total number of housing units,337072,133
Owner-occupied housing units,196162,1848
Renter-occupied housing units,73304,1456
Single-family detached units,226632,1696
Home ownership rate,72.8,0.5
Vacancy rate,20.1,0.5
Percent with a broadband internet subscription,87.9,0.5
Median owner-occupied housing unit value,290500,2466
Average housing value,349777,6867
Median selected monthly owner cost,1416,16
Average monthly owner cost (with a mortgage),1257,27
Median rent (housing),1193,16
Average rent (housing),1169,40
Median year structure built,1976,1
