Name,Value,MOE
Total number of employer and nonemployer businesses,148753,
"Total sales, value of shipments, or revenue of employer and nonemployer businesses ($1,000)",0,
Minority-owned non-employer businesses,6570,
White-owned non-employer businesses,120090,
Black-owned non-employer businesses,1790,
American Indian- and Alaska Native-owned employer businesses,960,
Asian-owned non-employer businesses,2210,
Native Hawaiian- and Other Pacific Islander-owned non-employer businesses,30,
Hispanic-owned non-employer businesses,1900,
Female-owned non-employer businesses,52200,
Male-owned non-employer businesses,68080,
Veteran-owned non-employer businesses,6560,
