Name,Value,MOE
Establishments,32187,
Number of establishments change (2023 to 2024),1398,
Number of establishments percent change (2023 to 2024) (%),4.5,
Number of establishments location quotient,0.98,
Employment (1st month of the quarter),256251,
Employment change month 1 (1st month of the quarter in 2023 to 2024),498,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),0.2,
Employment location quotient (1st month of the quarter),0.97,
Employment (2nd month of the quarter),254749,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),260,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.1,
Employment location quotient (2nd month of the quarter),0.97,
Employment (3rd month of the quarter),256904,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),-544,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),-0.2,
Employment location quotient (3rd month of the quarter),0.97,
Total wages ($),4353510353,
Total wages change (2023 to 2024) ($),209089956,
Total wages percent change (2023 to 2024) (%),5,
Total wages location quotient,0.96,
Average weekly wages ($),1308,
Average weekly wages change (2023 to 2024) ($),62,
Average weekly wages percent change (2023 to 2024) (%),5,
Average weekly wages location quotient,0.99,
