Name,Value,MOE
Median household income,78024,1357
Average income,103603,1553
Percent high school degree or higher,94.5,0.3
Percent Bachelor's degree or higher,42.6,0.5
Average household size,2.3,
Percent in poverty,10.3,0.4
Percent population 16 years and over in labor force,64.7,0.4
Percent employed,62.1,0.5
Percent disabled,14.5,0.3
Percent with health coverage,96.1,0.2
Percent of all workers 16 and over who commute to work,85,0.8
Percent who drive alone to work,70.1,0.7
Percent who carpool to work,8.1,0.5
Percent who use public transportation to commute to work,0.9,0.1
Percent who walk to work,4.3,0.3
Percent who use other means to commute to work,1.5,0.2
Percent who work from home,15,0.4
Average travel time to work (mins),23.4,0.4
Percent with no vehicles available,6.3,0.3
Percent with 1 vehicle available,35.2,0.7
Percent with 2 or more vehicles available,58.5,0.8
Percent veterans,6.5,0.2
Percent foreign born,4.3,
Percent speaking Spanish at home,1.3,0.1
Percent speaking other Indo-European languages at home,3,0.2
Percent speaking other Asian and Pacific Island languages at home,0.8,0.1
