Name,Value,MOE
Total consumer expenditures per household ,112941.82,
Consumer expenditures per household on Alcoholic beverages,743.12,
Consumer expenditures per household on Alcoholic beverages consumed at home,457.44,
Consumer expenditures per household on Apparel & services,2715.29,
Consumer expenditures per household on Men's Apparel,500.51,
Consumer expenditures per household on Women's Apparel,914.01,
Consumer expenditures per household on Children's Apparel,422.53,
Consumer expenditures per household on Boys' Apparel,159.27,
Consumer expenditures per household on Girls' Apparel,153.4,
Consumer expenditures per household on Footware,566.9,
Consumer expenditures per household on Dining out (Food away from home),4521.49,
Consumer expenditures per household on Education,1973.47,
Consumer expenditures per household on Entertainment / Recreation,4685.68,
Consumer expenditures per household on Club membership fees,343.65,
Consumer expenditures per household on Dating services,0.96,
Consumer expenditures per household on Pet food,425.67,
Consumer expenditures per household on Pet services,123.44,
Consumer expenditures per household on Food consumed at home,8367.89,
Consumer expenditures per household on Bakery products consumed at home,1075.4,
Consumer expenditures per household on Dairy products consumed at home,791.88,
Consumer expenditures per household on Fruits and vegetables consumed at home,1644.43,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1798.4,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,854.88,
Consumer expenditures per household on Snacks and other food products consumed at home,3057.77,
Consumer expenditures per household on Health Care,8860.96,
Consumer expenditures per household on Medical services,1770.4,
Consumer expenditures per household on Nonprescription drugs,207.63,
Consumer expenditures per household on Household Services,3177.67,
Consumer expenditures per household on Care for the elderly and handicapped,40.5,
Consumer expenditures per household on Lawn and garden services,806.59,
Consumer expenditures per household on Housekeeping services,278.17,
Consumer expenditures per household on PC repair,6.69,
Consumer expenditures per household on Housing,37057.3,
Consumer expenditures per household on Home improvements,6435.97,
"Consumer expenditures per household on Utilities, fuel, and public services",6863.93,
Consumer expenditures per household on Phone services,2222.59,
Consumer expenditures per household on Water,1107.35,
Consumer expenditures per household on Life and other insurance,776.8,
Consumer expenditures per household on Pensions and social security,12125.8,
Consumer expenditures per household on Personal Care Products and Services,1135.32,
Consumer expenditures per household on Hair care products,122.36,
Consumer expenditures per household on Personal care products,495.71,
Consumer expenditures per household on Local Transportation,12787.68,
Consumer expenditures per household on Gasoline,3710.58,
Consumer expenditures per household on Vehicle maintenance and repair,1704.27,
Consumer expenditures per household on Travel,3456.62,
Consumer expenditures per household on Airline fares,712.47,
Consumer expenditures per household on Auto/Truck rental on trips,132.63,
Consumer expenditures per household on Lodging on trips,1124.13,
Consumer expenditures per household on Food and drink on trips,849.44,
Consumer expenditures per household on Entertainment on trips,206.25,
Consumer expenditures per household on Child Care,630.36,
Consumer expenditures per household on Day Care/Nursery & Preschools,450.17,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,180.19,
