Name,Value,MOE
Total population,8657499,
Percent male,49.4,
Percent female,50.6,
Percent under 5 years,5.7,
Percent under 18 years,21.9,
Percent 18 years and over ,78.1,
Percent 21 years and over,74,
Percent working age (25 to 64 years),52.5,
Percent 65 years and over,16.3,
Median age,38.8,0.1
Percent White,61.73,
Percent Black or African American,18.75,
Percent American Indian and Alaska Native,0.31,
Percent Asian,6.86,
Percent Native Hawaiian and Other Pacific Islander,0.07,
Percent some other race,4.06,
Percent two or more races,8.23,
Percent Hispanic (of any race),10.73,
