Name,Value,MOE
All Employer establishments (Total),209244,
Average employment per employer,17,
Establishments with less than 5 employees,112293,
Establishments with 5 to 9 employees,37097,
Average payroll per employee,67086,
Establishments with 10 to 19 employees,27176,
Establishments with 20 to 49 employees,20817,
Establishments with 50 to 99 employees,6673,
Population per employer,41,
Establishments with 100 to 249 employees,3566,
Establishments with 250 to 499 employees,1032,
Establishments with 500 to 999 employees,378,
"Establishments with 1,000 employees or more",212,
Total employment of employers,3494956,
"Total annual payroll of employers ($1,000)",234462103,
Number of farm operations (Ag only),15193,
Total contract and hired labor expense (Ag only),34189000,
Total operating expense (Ag only),1188079000,
Establishment Entrants,20122,
Establishment Exits,18223,
All Employer firms (Total),142867,
Firms Age 0 (startups),12181,
Firms Age 1-5 Years,35365,
Firms Age 6-10 Year,22317,
Firms Age 11+ Years,63620,
Firms born before 1977,9384,
Firms with 1 to 19 employees,127192,
Firms with 20 to 499 employees,18187,
Firms with 500 or more employees,391,
