Name,Value,MOE
Total Civilian employed population 16 years and over,4258744,10029
"Agriculture, forestry, fishing and hunting, and mining",35646,1863
"Arts, entertainment, and recreation, and accommodation and food services",345350,4958
Construction,277280,4816
"Educational services, and health care and social assistance",943992,7364
"Finance and insurance, and real estate and rental and leasing",275879,3855
Information,75011,2436
Manufacturing,303128,5517
"Other services, except public administration",222565,4288
"Professional, scientific, and management, and administrative and waste management services",708120,6671
Public administration,377362,5388
Retail trade,417709,6522
"Transportation and warehousing, and utilities",206426,3533
Wholesale trade,70276,2537
