Name,Value,MOE
Total number of housing units,3654784,946
Owner-occupied housing units,2234492,12833
Renter-occupied housing units,1091768,7427
Single-family detached units,2243358,7056
Home ownership rate,67.2,0.3
Vacancy rate,9,0.2
Percent with a broadband internet subscription,89.9,0.2
Median owner-occupied housing unit value,360700,1182
Average housing value,458363,4465
Median selected monthly owner cost,1523,8
Average monthly owner cost (with a mortgage),1596,14
Median rent (housing),1514,8
Average rent (housing),1441,15
Median year structure built,1984,1
