Name,Value,MOE
All Employer establishments (Total),403806,
All Nonemployer firms,1067362,
Total employment of employers,5956268,
"Total annual payroll of employers ($1,000)",483545334,
"Total revenue of employers ($1,000)",2277617446,
"Revenue of nonemployer firms ($1,000)",64296638,
Establishment Entrants,42310,
Establishment Exits,36862,
All Employer firms (Total),286118,
Firms Age 0 (startups),26053,
Firms Age 1-5 Years,77687,
Firms Age 6-10 Year,46485,
Firms Age 11+ Years,119266,
Firms born before 1977,16627,
Firms with 1 to 19 employees,129003,
Firms with 20 to 499 employees,15428,
Firms with 500 or more employees,273,
"Total revenue of employers ($1,000) for Islands",n/a,
