Name,Value,MOE
Total population,7740984,
Percent male,50.4,
Percent female,49.6,
Percent under 5 years,5.7,
Percent under 18 years,21.6,
Percent 18 years and over ,78.4,
Percent 21 years and over,74.9,
Percent working age (25 to 64 years),53.6,
Percent 65 years and over,16.3,
Median age,38.2,0.1
Percent White,67.84,
Percent Black or African American,3.96,
Percent American Indian and Alaska Native,1.17,
Percent Asian,9.4,
Percent Native Hawaiian and Other Pacific Islander,0.7,
Percent some other race,5.56,
Percent two or more races,11.38,
Percent Hispanic (of any race),14.08,
