Name,Value,MOE
Total Civilian employed population 16 years and over,3781332,8903
"Agriculture, forestry, fishing and hunting, and mining",94411,3190
"Arts, entertainment, and recreation, and accommodation and food services",317319,5249
Construction,272516,4911
"Educational services, and health care and social assistance",810352,6967
"Finance and insurance, and real estate and rental and leasing",201157,4357
Information,93763,2334
Manufacturing,346038,4761
"Other services, except public administration",165046,3453
"Professional, scientific, and management, and administrative and waste management services",547526,5920
Public administration,188847,3521
Retail trade,438325,5457
"Transportation and warehousing, and utilities",217506,4136
Wholesale trade,88526,2966
