Name,Value,MOE
Total number of housing units,3262667,447
Owner-occupied housing units,1929694,9294
Renter-occupied housing units,1090864,6805
Single-family detached units,2033856,6560
Home ownership rate,63.9,0.3
Vacancy rate,7.4,0.2
Percent with a broadband internet subscription,93,0.2
Median owner-occupied housing unit value,519800,2550
Average housing value,646864,5680
Median selected monthly owner cost,1797,8
Average monthly owner cost (with a mortgage),1769,14
Median rent (housing),1682,9
Average rent (housing),1616,17
Median year structure built,1984,2
