Name,Value,MOE
Establishments,236383,
Number of establishments change (2023 to 2024),16848,
Number of establishments percent change (2023 to 2024) (%),7.7,
Number of establishments location quotient,1,
Employment (1st month of the quarter),3009698,
Employment change month 1 (1st month of the quarter in 2023 to 2024),-9103,
Employment percent change (1st month of the quarter in 2023 to 2024) (%),-0.3,
Employment location quotient (1st month of the quarter),0.98,
Employment (2nd month of the quarter),3014125,
Employment change month 2 (2nd month of the quarter in 2023 to 2024),10533,
Employment percent change (2nd month of the quarter in 2023 to 2024) (%),0.4,
Employment location quotient (2nd month of the quarter),0.98,
Employment (3rd month of the quarter),3014805,
Employment change month 3 (3rd month of the quarter in 2023 to 2024),15963,
Employment percent change (3rd month of the quarter in 2023 to 2024) (%),0.5,
Employment location quotient (3rd month of the quarter),0.98,
Total wages ($),76316315709,
Total wages change (2023 to 2024) ($),6880673579,
Total wages percent change (2023 to 2024) (%),9.9,
Total wages location quotient,1,
Average weekly wages ($),1948,
Average weekly wages change (2023 to 2024) ($),172,
Average weekly wages percent change (2023 to 2024) (%),9.7,
Average weekly wages location quotient,1.02,
