Name,Value,MOE
Median household income,94952,476
Average income,129559,732
Percent high school degree or higher,92.2,0.1
Percent Bachelor's degree or higher,38.8,0.3
Average household size,2.51,
Percent in poverty,9.9,0.2
Percent population 16 years and over in labor force,64.7,0.1
Percent employed,60.5,0.1
Percent disabled,13.3,0.1
Percent with health coverage,93.6,0.1
Percent of all workers 16 and over who commute to work,82.3,0.3
Percent who drive alone to work,64.7,0.2
Percent who carpool to work,8.7,0.1
Percent who use public transportation to commute to work,4,0.1
Percent who walk to work,3.1,0.1
Percent who use other means to commute to work,1.9,0.1
Percent who work from home,17.7,0.2
Average travel time to work (mins),27,0.2
Percent with no vehicles available,6.9,0.1
Percent with 1 vehicle available,30,0.2
Percent with 2 or more vehicles available,63.1,0.3
Percent veterans,8.1,0.1
Percent foreign born,15.1,
Percent speaking Spanish at home,9,0.1
Percent speaking other Indo-European languages at home,4.2,0.1
Percent speaking other Asian and Pacific Island languages at home,6.3,0.1
