Name,Value,MOE
All Employer establishments (Total),71035,
All Nonemployer firms,187338,
Total employment of employers,1080877,
"Total annual payroll of employers ($1,000)",53000446,
"Total revenue of employers ($1,000)",347433618,
"Revenue of nonemployer firms ($1,000)",8637258,
Establishment Entrants,5956,
Establishment Exits,5770,
All Employer firms (Total),47170,
Firms Age 0 (startups),3075,
Firms Age 1-5 Years,8494,
Firms Age 6-10 Year,5558,
Firms Age 11+ Years,23198,
Firms born before 1977,6839,
Firms with 1 to 19 employees,21015,
Firms with 20 to 499 employees,2946,
Firms with 500 or more employees,54,
"Total revenue of employers ($1,000) for Islands",n/a,
