Name,Value,MOE
Total consumer expenditures per household ,71630.5,
Consumer expenditures per household on Alcoholic beverages,427.74,
Consumer expenditures per household on Alcoholic beverages consumed at home,267.21,
Consumer expenditures per household on Apparel & services,1617.5,
Consumer expenditures per household on Men's Apparel,298.74,
Consumer expenditures per household on Women's Apparel,562.78,
Consumer expenditures per household on Children's Apparel,256.35,
Consumer expenditures per household on Boys' Apparel,96.55,
Consumer expenditures per household on Girls' Apparel,91.66,
Consumer expenditures per household on Footware,331.58,
Consumer expenditures per household on Dining out (Food away from home),2742.32,
Consumer expenditures per household on Education,1085.8,
Consumer expenditures per household on Entertainment / Recreation,3027.45,
Consumer expenditures per household on Club membership fees,192.57,
Consumer expenditures per household on Dating services,0.57,
Consumer expenditures per household on Pet food,325.91,
Consumer expenditures per household on Pet services,71.63,
Consumer expenditures per household on Food consumed at home,5507.08,
Consumer expenditures per household on Bakery products consumed at home,713.03,
Consumer expenditures per household on Dairy products consumed at home,523.26,
Consumer expenditures per household on Fruits and vegetables consumed at home,1045.54,
"Consumer expenditures per household on Meat, poultry, fish, and eggs consumed at home",1177.08,
Consumer expenditures per household on Nonalcoholic beverages consumed at home,584.86,
Consumer expenditures per household on Snacks and other food products consumed at home,2048.16,
Consumer expenditures per household on Health Care,6351.97,
Consumer expenditures per household on Medical services,1187.09,
Consumer expenditures per household on Nonprescription drugs,150.38,
Consumer expenditures per household on Household Services,2024.03,
Consumer expenditures per household on Care for the elderly and handicapped,24.82,
Consumer expenditures per household on Lawn and garden services,571.03,
Consumer expenditures per household on Housekeeping services,159.47,
Consumer expenditures per household on PC repair,4.2,
Consumer expenditures per household on Housing,22395.3,
Consumer expenditures per household on Home improvements,4152.35,
"Consumer expenditures per household on Utilities, fuel, and public services",4879.94,
Consumer expenditures per household on Phone services,1546.65,
Consumer expenditures per household on Water,745.15,
Consumer expenditures per household on Life and other insurance,521.37,
Consumer expenditures per household on Pensions and social security,7165.74,
Consumer expenditures per household on Personal Care Products and Services,673.71,
Consumer expenditures per household on Hair care products,75.08,
Consumer expenditures per household on Personal care products,272.07,
Consumer expenditures per household on Local Transportation,8821.42,
Consumer expenditures per household on Gasoline,2668.89,
Consumer expenditures per household on Vehicle maintenance and repair,1138.14,
Consumer expenditures per household on Travel,2071.88,
Consumer expenditures per household on Airline fares,375.46,
Consumer expenditures per household on Auto/Truck rental on trips,75.45,
Consumer expenditures per household on Lodging on trips,701.27,
Consumer expenditures per household on Food and drink on trips,518.49,
Consumer expenditures per household on Entertainment on trips,120.83,
Consumer expenditures per household on Child Care,333.44,
Consumer expenditures per household on Day Care/Nursery & Preschools,242.83,
Consumer expenditures per household on Babysitting/Child Care in Own/Other Home,90.6,
