Name,Value,MOE
Total population,1784462,
Percent male,49.9,
Percent female,50.1,
Percent under 5 years,5,
Percent under 18 years,20.1,
Percent 18 years and over ,79.9,
Percent 21 years and over,75.9,
Percent working age (25 to 64 years),50.4,
Percent 65 years and over,20.7,
Median age,42.7,0.1
Percent White,90.9,
Percent Black or African American,3.28,
Percent American Indian and Alaska Native,0.09,
Percent Asian,0.75,
Percent Native Hawaiian and Other Pacific Islander,0.03,
Percent some other race,0.68,
Percent two or more races,4.28,
Percent Hispanic (of any race),2.02,
