Name,Value,MOE
All Employer establishments (Total),35530,
Average employment per employer,15,
Establishments with less than 5 employees,17182,
Establishments with 5 to 9 employees,7940,
Average payroll per employee,49034,
Establishments with 10 to 19 employees,5253,
Establishments with 20 to 49 employees,3393,
Establishments with 50 to 99 employees,1020,
Population per employer,50,
Establishments with 100 to 249 employees,528,
Establishments with 250 to 499 employees,139,
Establishments with 500 to 999 employees,45,
"Establishments with 1,000 employees or more",30,
Total employment of employers,540468,
"Total annual payroll of employers ($1,000)",26501437,
Number of farm operations (Ag only),9778,
Total contract and hired labor expense (Ag only),2584000,
Total operating expense (Ag only),126630000,
Establishment Entrants,2978,
Establishment Exits,2885,
All Employer firms (Total),23350,
Firms Age 0 (startups),1538,
Firms Age 1-5 Years,4245,
Firms Age 6-10 Year,2777,
Firms Age 11+ Years,11506,
Firms born before 1977,3284,
Firms with 1 to 19 employees,21015,
Firms with 20 to 499 employees,2946,
Firms with 500 or more employees,54,
