Name,Value,MOE
Total Civilian employed population 16 years and over,740597,4447
"Agriculture, forestry, fishing and hunting, and mining",23258,1181
"Arts, entertainment, and recreation, and accommodation and food services",61935,2173
Construction,50785,1983
"Educational services, and health care and social assistance",206739,3926
"Finance and insurance, and real estate and rental and leasing",32402,1484
Information,10790,985
Manufacturing,59927,2173
"Other services, except public administration",32455,1561
"Professional, scientific, and management, and administrative and waste management services",61380,1934
Public administration,51748,1793
Retail trade,91001,2660
"Transportation and warehousing, and utilities",45655,2073
Wholesale trade,12522,965
